ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
34,33,34,33,1,1,1,1,2,1,30,17,21,25,1,33,33,15,2,33,33,33,23,22,26,32,22,22,17,29
22105,22105,21675,3632,190,26,176,1,2,2,296,22,50,77,24,5728,5799,19,370,6339,6339,6339,51,63,77,739,50,61,23,270
6,6,6,6,1,1,1,1,2,1,6,6,6,6,1,6,6,4,2,6,6,6,6,6,6,6,6,6,6,6
7370,7370,7329,4445,126,26,116,1,2,2,300,22,50,78,22,5634,5843,19,253,6173,6173,6173,51,64,77,763,50,60,23,274
3,3,3,3,1,1,1,1,2,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
8,7,7,7,1,1,1,1,2,1,7,7,7,7,1,7,7,5,2,7,7,7,7,7,7,7,7,7,7,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,102,103,98,1,1,1,1,2,1,64,15,19,24,1,98,96,16,4,98,98,98,20,20,27,75,20,20,15,60
24255,24255,23634,8890,227,26,210,1,2,2,295,22,50,77,23,14804,15900,19,483,19755,19754,19755,51,61,77,737,50,59,23,269
139,139,139,132,28,12,26,1,2,2,100,22,45,49,13,124,123,7,66,124,124,124,43,48,47,107,44,47,22,93
332,332,331,317,52,16,48,1,2,2,166,22,48,64,17,320,320,4,7,321,321,321,48,55,64,218,49,54,22,164
324,324,323,312,44,15,40,1,2,2,168,22,48,64,15,302,303,6,191,303,303,303,46,55,63,216,47,54,22,162
111128,111128,102907,27926,275,28,256,1,2,2,300,24,50,78,23,43284,55300,19,952,85599,85590,85607,51,78,77,800,50,61,23,273
5507,5507,5469,4394,157,24,145,1,2,2,300,22,50,77,22,4768,4886,19,244,5030,5030,5030,51,67,77,769,50,61,23,272
8,8,8,8,6,5,6,1,2,1,8,6,7,6,5,8,8,1,7,8,8,8,7,8,6,8,7,8,6,8
8,8,8,8,7,5,7,1,2,2,8,8,8,8,5,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7
17,17,17,17,1,1,1,1,2,2,16,8,10,12,1,17,17,10,2,17,17,17,10,9,12,17,10,9,8,16
9382,9376,9226,3046,148,25,138,1,2,2,285,22,50,76,25,4090,4181,19,294,4389,4389,4389,51,68,76,610,50,60,23,266
7,6,7,6,1,1,1,1,2,2,3,3,3,3,1,6,6,5,2,6,6,6,3,3,3,4,3,4,3,3
210,207,207,203,1,1,1,1,2,2,116,19,37,47,1,206,206,19,7,207,207,207,38,30,47,147,36,30,19,117
3,3,3,3,1,1,1,1,2,1,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
